product_variant_id,season,family,brand,model,color,size,adventurous,back_neckline,basic,bottom,chest_contour,chest_volume,closing,composition_detail,cover,cut,elasticated_lining,fabric,finishing,fit,heel_length,hip_contour,hips_volume,leg_height,light,long_cm,neck,neckline,print,rubber_waist,shot,shoulders_pad,size_feature,sizing,sleeve,sleeve_long,sleeve_long_cm,sole_length,style,thicknees,toecap,type_of_length,waist_contour,weather,current_price_eur
0002d203-bf19-42fd-8c82-892780d2d39b,13,blusa_camisa,PIECES,S4789,blue_dark,S,"three,two",,,,54,,buttoning,viscose-100,,,,viscose,,straight,,58,,,,61,,v_neckline,floral,,,,,normal,basic_sleeve,short_sleeve,22,,"boho,classic",,,,54,"warm,warm_season",3499
001315a9-6c15-4907-88d5-db6d04e8863e,11,vestido,FRANSA,D2894,black,L,two,,false,,59,,hidden_buttoning,viscose-100,,back_yoke_cut,,popeline,touchable,straight,,62,,,,106,,v_neckline,smooth,,,,,big_1,"cuffed_sleeve,off_shoulders,shirt_sleeve",long_sleeve,63,,"classic,minimal",,,midi,60,cold_season,5999
0020adc1-b9cf-48d0-b047-0adc55b4caea,12,vestido,THE BOHCK,D3436,black,XXXL,three,,,,60,,without_closing,polyester-100,true,waist_cut,,synthetic,,straight,,54,,,,93,,v_neckline,polka_dot,,,,,normal,japanese_sleeve,short_sleeve,20,,"boho,street",,,,46,"warm,warm_season",5490
0022833c-4a75-4bcb-81d3-29b921094e53,15,pantalon,LA FÉE MARABOUTEÉ,P3874,green,L,three,,,long_pants,,,without_closing,viscose-100,,,,viscose,,loose,,52,,,,109,,,"sheets,two_tone",true,high,,,normal,,,,,"boho,street",,,long,36,"warm,warm_season",13600
0022c48d-d65c-4a98-a6ff-e229e7b9e025,11,blusa_camisa,VERO MODA,S3580,white,M,"three,two",,false,,51,,buttoning,cotton-100,,front_yoke_cut,,popeline,crochet,straight,,55,,,,62,mandarinacollar,high_neck,smooth,,,,,normal,shirt_sleeve,long_sleeve,60,,"boho,street",,,,49,"cold_season,warm_season",3999
002b7fef-3010-4f5e-810d-1c5710c9a5a5,14,jersey,ONLY,J4079,beige,S,"three,two",,,,44,,without_closing,"acrylic-71,elastane-2,nylon-6,polyester-21",,,,jersey,"ribbed,shiny",straight,,39,,,,55,,closed_round_neckline,smooth,,,,,normal,"cuffed_sleeve,large_sleeve,puffed_sleeve",long_sleeve,65,,"boho,street",,,,41,"cold,cold_season",3999
003418cc-7b60-481e-94bc-1e7e2655642f,11,pantalon,CINDY,P3153,rust,L,two,,false,long_pants,,,fly,"cotton-97,elastane-3",,,,twill,,tight,,44,,,,97,,,smooth,,medium,,,normal,,,,,"minimal,street",,,long,37,"cold_season,warm_season",3990
003508c2-6207-4296-b1a0-220a700e9f29,12,jersey,BRAVE SOUL,J2903,ecru,L,"three,two",,false,,61,,without_closing,acrylic-100,,,,jersey,crochet,loose,,49,,,,61,,closed_round_neckline,smooth,,,,,big,puffed_sleeve,long_sleeve,67,,"boho,classic",,,,56,"cold,cold_season",2995
00389a4d-3cc5-4180-92c9-eae1761ef621,13,top,DESIRES,T3384,white,S,"three,two",,,,52,,buttons,viscose-100,,,,cheesecloth,touchable,loose,,57,,,,65,mandarin_collar,v_neckline,two_tone,,,,,big,japanese_sleeve,short_sleeve,12,,"boho,street",,,,53,"warm,warm_season",3995
00482fa7-f42e-4375-b24c-f87072d0271f,13,sudadera,LEE,X211,white,L,"three,two",,,,56,,without_closing,cotton-100,,,,cotton_batting,,straight,,52,,,,63,,closed_round_neckline,smooth,,,,,big,"basic_sleeve,cuffed_sleeve",long_sleeve,55,,"casual,street",,,,54,"cold,cold_season",6995
004f3213-f976-4cf4-8d9f-49188114aa1e,12,blusa_camisa,SEE U SOON,S3823,white,L,"four,three",,false,,60,,buttoning,viscose-100,,back_yoke_cut,,twill,,loose,,72,,,,66,mandarinacollar,closed_round_neckline,smooth,,,,,big,"japanese_sleeve,off_shoulders,puffed_sleeve,shirt_sleeve",long_sleeve,62,,"classic,minimal",,,,70,"cold_season,warm_season",6400
00532389-341d-49dd-9f6d-a4c33e1af2b5,13,camiseta,EDC,C3131,aubergine,L,"three,two",,,,54,,without_closing,"linen-42,viscose-58",,,,cotton_tshirt,,straight,,57,,,,70,,open_round_neckline,smooth,,,,,normal,tulip_sleeve,short_sleeve,12,,"classic,minimal",,,,54,"warm,warm_season",2999
00539089-d1b4-4213-b7d2-66ec8d808ebd,11,jersey,ONLY,J947,jade,L,two,,false,,50,,without_closing,"acrylic-65,polyamide-35",,,,jersey,ribbed,straight,,53,,,,66,,closed_round_neckline,horizontal_stripes,,,,,normal,basic_sleeve,long_sleeve,66,,"casual,classic",,,,50,cold_season,2199
005c6745-ce55-440b-a9bb-a67b2a94d9d6,16,jersey,ONLY,J4683,black,L,two,,,,45,,without_closing,"acrylic-84,polyamide-10,polyester-6",,,,jersey,ribbed,straight,,46,,,,58,perkins_collar,high_neck,smooth,,,,,normal,raglan_sleeve,long_sleeve,68,,"casual,minimal",,,,45,"cold_season,warm_season",3999
007a6365-ef8d-412d-a87e-8398c34e45bf,11,falda,ESPRIT CASUAL,F1787,taupe,XS,"three,two",,false,,,,fly,"elastane-14,polyester-86",,central_cut,,suede_leather,suede,straight,,52,,,,49,,,smooth,true,medium,,,big_1,,,,,"boho,classic",,,short,38,"cold,cold_season",4999
007b10c8-5277-411c-a632-69fb1a8646ab,11,top,THIS FILM´S A MUST,T2539,ecru,XL,"three,two",,false,,58,,without_closing,polyester-100,,contour_darts,,chiffon,,straight,,62,,,,66,,v_neckline,floral,,,,,normal,basic_sleeve,short_sleeve,20,,classic,,,,57,"warm,warm_season",3990
0083ad48-60e3-4e10-a268-dc952c444794,11,top,YCOO,T2860,black,XL,"three,two",,false,,48,,keyhole_button,"cotton-75,polyester-25",,,,lace,transparent,straight,,55,,,,59,,closed_round_neckline,smooth,,,,,normal,,sleeveless,,,"boho,street",,,,51,warm,5290
00894685-5eff-443c-8bf4-076d08251274,11,top,WANTIT,T2778,blue_light,XL,"three,two",,false,,49,,without_closing,"cotton-85,linen-5,polyester-10",,,,thread,,straight,,53,,,,62,,v_neckline,vertical_stripes,,,,,normal,tulip_sleeve,short_sleeve,6,,"boho,classic",,,,50,"warm,warm_season",3090
0089da6e-428d-4277-aa45-bd78ebb4621d,9,short,NOISY MAY,P1834,camel,S,three,,false,,,,without_closing,lyocell-100,,,,twill,touchable,loose,,51,,,,38,,,smooth,true,medium,,,normal,,,,,"casual,street",,,short,36,warm,2999
008c5da3-88cf-472c-b639-ebe2f7238adb,13,denim_jeans,TOM TAILOR,M1591,blue_dark,L,"one,two",,,straight_pants,,,"fly,zip_button","cotton-98,elastane-2",,,,twill,,tight,,45,,,,84,,,smooth,,medium,,,small,,,,,"boho,classic",,,long,37,"cold_season,warm,warm_season",5999
0092aa89-52fd-4bbd-8afc-9f5623b9d49a,11,pantalon,ONLY,P3044,blue_dark,XL,two,,false,straight_pants,,,"fly,front_closure,zip","cotton-98,elastane-2",,,,twill,,straight,,48,,,,91,,,smooth,,short,,,normal,,,,,"classic,minimal",,,long,39,warm_season,3999
0098ce2e-0f11-4947-8294-a257f4bc72a9,13,blusa_camisa,PEPPERCORN,S4417,blue_dark,XS,"three,two",,,,54,,without_closing,viscose-100,,,,viscose,touchable,straight,,59,,,,64,mandarin_collar,v_neckline,"floral,miniprint",,,,,normal,shirt_sleeve,3_4,46,,"classic,street",,,,53,"cold_season,warm_season",4995
009d7187-e5b1-4d98-8d78-69d3951f14c6,13,denim_jeans,ONLY,M1436,blue_light,L-32,two,,,long_pants,,,"fly,front_closure,zip_button","cotton-92,elastane-2,polyester-6",,,,denim,worn_out,tight,,39,,,,95,,,smooth,,medium,,,small_1,,,,,"casual,street",,,long,34,"cold_season,warm_season",3999
00a05ec2-d7ec-47aa-9125-1b5800f2b2b3,11,top,MORGAN,T2572,sand,XXL,"three,two",,false,,43,,without_closing,polyester-100,true,waist_cut,,synthetic,,straight,,42,,,,60,,v_neckline,floral,true,,,,normal,,sleeveless,,,"boho,street",,,,54,"warm,warm_season",4500
