id,name,type,multiple,unit
07f5ed21-5669-4cb5-93d8-622557af52ef,hip_contour,NUMBER,f,CENTIMETERS
083021ee-4f31-4175-b071-9f4883c84a53,neck,STRING,f,\N
0ccb5374-db8c-4dbb-afae-6b2652af170d,top_type,STRING,f,\N
10e14a5d-39b6-4045-93cc-1574f68606ec,finishing,STRING,t,\N
144d677e-67cc-49b2-9be1-74af3ab02945,style,STRING,t,\N
1fa667be-9e01-40aa-9957-1928b972a483,cover,BOOLEAN,f,\N
1fe4b964-e430-44b9-9f6e-073351b8df88,jump_suit_type,STRING,f,\N
233e9e71-155a-441a-8ffc-f907a783e692,back_neckline,BOOLEAN,f,\N
23da088e-f468-4beb-abc7-60397ae512ed,skirt_type,STRING,f,\N
26211064-e59c-452e-9518-b6a0f53c2ce5,percentage,NUMBER,f,PERCENTAGE
269f2901-47ea-4485-9808-8293f11b831b,fit,STRING,f,\N
273c5d63-83f2-4f88-9841-15b99e5ee1a1,dress_type,STRING,f,\N
2e2a28f9-566d-419f-9081-cc9061324110,closing,STRING,t,\N
31c812d7-0127-4ce5-bda8-96e51574fd26,size,STRING,f,\N
3299a9a7-d387-4ffb-bb7d-fece852611f6,fabric,STRING,t,\N
35095baf-b444-43bd-aedf-9360be23ab6d,leg_height,NUMBER,f,CENTIMETERS
395d4d49-a7b1-4e8a-8948-bc18beef1e44,sole_type,STRING,t,\N
3d572761-0dc3-4612-961e-05718951cb06,hips_volume,BOOLEAN,f,\N
3ee99982-484b-4f35-8357-8cac7bccbb73,cut,STRING,f,\N
4ad265ea-68e0-409e-aaca-381b7ca8ed1f,rubber_waist,BOOLEAN,f,\N
51a17f67-4b4a-4f03-8b4c-44418cc196f0,application,STRING,t,\N
51ac9ecd-7b74-4543-ac0c-4fe229da05a8,long_cm,NUMBER,f,CENTIMETERS
51ba712e-4cc6-47c3-a823-02fc31a67104,thicknees,STRING,f,\N
531af7c0-fa3e-4045-a5cb-18413d80af09,message,BOOLEAN,f,\N
5645397a-9858-4e4a-9e06-acbadd463738,detail,STRING,t,\N
571df263-3032-4f34-ac72-a31237700335,label,BOOLEAN,f,\N
5ba43df1-ef52-48e7-aa30-83492df0c194,shot,STRING,f,\N
5fa66227-ea2b-4f43-aa60-12974f3f3316,shoulders_pad,BOOLEAN,f,\N
604b76cd-27a8-45ef-8734-618639ff331a,adventurous,STRING,t,\N
6e518bda-2083-41b9-89c0-6c52392261d3,weather,STRING,t,\N
7298588f-755b-4951-9ddb-9ef63b924e1f,shoe_type,STRING,t,\N
7b52039b-f301-4f10-aab2-f8a06ad82c22,belt_shot,STRING,f,\N
7e3c118b-7cda-4fae-b25d-04073dfc82a7,gripper,BOOLEAN,f,\N
83fc5808-9319-444b-a84e-a6ac4a8da9aa,bag_type,STRING,t,\N
8d59bf47-66f6-496f-a01b-b92d8e3c03e7,bottom,STRING,f,\N
90d5a219-a892-411e-ba25-7244fa1e220c,outside_type,STRING,f,\N
912cdb5d-2f9d-48ff-8795-73b629bee44b,raised_insole,STRING,f,\N
92c64a08-f4c8-4866-9d00-8c905a3e4d16,hood,BOOLEAN,f,\N
980dcbd8-ac49-4295-bb21-faad5c1f8845,sleeve_long,STRING,t,\N
a772aec6-6c85-4169-b8ef-4ab0d132453d,sleeve_long_cm,NUMBER,f,CENTIMETERS
aca97a9c-bf69-4b4d-9ade-f92e82ea953a,alerts,STRING,t,\N
ae2da038-0e80-464e-a334-197e65d06c18,sizing,STRING,f,\N
aebb8442-3325-470f-a76e-fbd9c5596d3d,neckline,STRING,t,\N
b04f2918-d31b-4885-9d1b-51afea03c53e,waist_contour,NUMBER,f,CENTIMETERS
b237632a-9b01-40e3-98b6-28b7b329968c,sleeve,STRING,t,\N
ba21c1f7-d6a4-4b96-b16d-85cf32bde3da,fabric_adj,STRING,t,\N
befc364a-c636-4c58-a43b-13e0e278b291,foulard_type,STRING,f,\N
befe6d1f-f2c3-4ae7-8145-ffef4013324a,heel_length,NUMBER,f,CENTIMETERS
c4ca680b-8672-4ff5-8ba8-f2e4094e6b60,down_part_type,STRING,f,\N
c512d2ea-9d34-436a-909e-c4a70e1af07a,composition,STRING,t,\N
c67b06b1-1c40-42a5-b029-e70533146b9f,print,STRING,t,\N
cf5eaa67-9c73-4149-a259-917fd382928e,chest_contour,NUMBER,f,CENTIMETERS
d5915843-8008-4113-8bbd-37991b2cdb9a,sole_length,NUMBER,f,CENTIMETERS
d6f40fcf-5757-47a8-b7c5-469fba5289e5,toecap,STRING,t,\N
df6269fb-f67c-4496-a840-dc2eebbb86cb,leg_height_type,STRING,t,\N
e1d176ac-028e-4a26-977b-4c0d5807cec6,light,BOOLEAN,f,\N
e3648d96-12b6-41ce-94be-b7ee2677e0fc,basic,BOOLEAN,f,\N
e38453e1-5526-4f8b-8dd3-b5c5480d50df,type_of_length,STRING,f,\N
f0b53b00-1374-4fcc-85be-4ee811615a42,heel_type,STRING,t,\N
f503b5cb-38e0-4dc4-8a96-2b62edae302d,chest_volume,BOOLEAN,f,\N
46a6bd1a-52b0-4d83-8b8c-575db6a632c8,elasticated_lining,BOOLEAN,f,\N
