id,value,feature_id
00455560-362c-4b94-bdd0-f5c44e9d8c66,156,b04f2918-d31b-4885-9d1b-51afea03c53e
005f9e9b-50ed-4dde-bbb8-235848550db1,273,b04f2918-d31b-4885-9d1b-51afea03c53e
00624891-7070-466f-9c63-01523bb59781,beach_bag,83fc5808-9319-444b-a84e-a6ac4a8da9aa
00845e99-715e-40d5-8cf6-c2569f897884,measurements_xs,aca97a9c-bf69-4b4d-9ade-f92e82ea953a
00b61c53-33a5-4255-8dde-286370dca68b,88,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
01075dfe-41ea-4699-bcff-f5de0763cff0,105,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
010c4e8a-da4c-412b-88b6-449fb60caf44,trumpet_sleeve,b237632a-9b01-40e3-98b6-28b7b329968c
01361580-1c09-4836-b201-8208f9030d78,55,07f5ed21-5669-4cb5-93d8-622557af52ef
013d0fa7-e0a4-4533-b1f9-fd3d430e84e2,188,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
01486d5b-d881-4105-a5b2-84414a0f1146,shimmer,3299a9a7-d387-4ffb-bb7d-fece852611f6
017baf4c-8409-41a3-aace-376e98e37ba4,one,604b76cd-27a8-45ef-8734-618639ff331a
01a2beea-f527-4378-ab09-598001e13c4c,190,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
01dbc1b7-f898-43ec-af84-d21713887e83,291,b04f2918-d31b-4885-9d1b-51afea03c53e
02005d0c-ddd9-4a36-a3ea-425e81e44d0b,flanell,3299a9a7-d387-4ffb-bb7d-fece852611f6
02065fa9-3450-4fbd-9443-9563e554221e,75,cf5eaa67-9c73-4149-a259-917fd382928e
021536a8-d468-4ea5-8dc7-7a65c3450c00,drape,5645397a-9858-4e4a-9e06-acbadd463738
02257903-92fa-4ef4-8ba7-12758b989472,25,26211064-e59c-452e-9518-b6a0f53c2ce5
022bc709-2a40-4505-b4a5-4b64eb0cdce6,21,cf5eaa67-9c73-4149-a259-917fd382928e
023cbe24-37c9-4d4f-b08c-1bde7a00b440,212,07f5ed21-5669-4cb5-93d8-622557af52ef
02593002-34d9-4955-b9b5-a21143c183e5,3_4,980dcbd8-ac49-4295-bb21-faad5c1f8845
025c375b-3f66-4290-a107-1091b602eb2e,13,cf5eaa67-9c73-4149-a259-917fd382928e
029b96d9-7565-4354-bd50-18b74a9ef7cb,tight_chest,aca97a9c-bf69-4b4d-9ade-f92e82ea953a
02d8513d-bbc7-4595-895f-a2a84e92a16a,water,7298588f-755b-4951-9ddb-9ef63b924e1f
02dd9923-ee80-47bf-9130-68ecf6ba313f,coatigan,90d5a219-a892-411e-ba25-7244fa1e220c
0334fd5d-cada-48e8-9fcd-5d925eb20d80,bolero,90d5a219-a892-411e-ba25-7244fa1e220c
03361f27-53e9-4b05-8323-5824a02f071a,36,26211064-e59c-452e-9518-b6a0f53c2ce5
033b410b-1da0-429e-8488-85b8d5fee297,one_more,aca97a9c-bf69-4b4d-9ade-f92e82ea953a
0347c942-d634-45a4-9d11-3d120cbbf3e8,97,cf5eaa67-9c73-4149-a259-917fd382928e
034cdccd-b9fa-4b67-ac6c-936c961f7325,222,b04f2918-d31b-4885-9d1b-51afea03c53e
03608620-f056-48df-a7b3-5a2a8a4a6949,133,07f5ed21-5669-4cb5-93d8-622557af52ef
0362874c-974b-4fdd-aa57-e7e9b0df1a9f,overlap,5645397a-9858-4e4a-9e06-acbadd463738
036a6abf-699d-44e5-9dce-4fcc0f04de08,long_pants,8d59bf47-66f6-496f-a01b-b92d8e3c03e7
037a0dca-2409-4d0c-ad69-8296ee3593d9,73,cf5eaa67-9c73-4149-a259-917fd382928e
039cd169-ee43-4009-a501-623d4ed2776b,18,07f5ed21-5669-4cb5-93d8-622557af52ef
03dcc7b4-e1c1-4939-986f-11174f753077,144,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
0438374b-b5bd-4f2b-8a60-e155ccd312bc,179,b04f2918-d31b-4885-9d1b-51afea03c53e
0449698d-7e41-4666-8cfb-dae4042e2a62,6,35095baf-b444-43bd-aedf-9360be23ab6d
047d1b25-2335-4a93-adb8-0ea3ba47df54,88,07f5ed21-5669-4cb5-93d8-622557af52ef
049e7ee7-34d6-455e-8eb9-4c51620a2299,shankless,df6269fb-f67c-4496-a840-dc2eebbb86cb
04afaee0-03d9-4911-a6f4-7286c373f6cf,jute,3299a9a7-d387-4ffb-bb7d-fece852611f6
04e1df7a-fa12-4421-aff2-b29dc106b041,kimono,90d5a219-a892-411e-ba25-7244fa1e220c
04e388d1-6426-4931-8449-95ab11388087,143,07f5ed21-5669-4cb5-93d8-622557af52ef
04f716e5-7da2-4479-9fcf-9b45897f7826,classic,c4ca680b-8672-4ff5-8ba8-f2e4094e6b60
05155868-5a51-4328-bec7-587f5f081148,frayed,ba21c1f7-d6a4-4b96-b16d-85cf32bde3da
05189b57-cd02-4472-9e21-bd3b54ab5dd6,93,26211064-e59c-452e-9518-b6a0f53c2ce5
055bff40-a46a-4912-8b35-df3d48afe857,1,b04f2918-d31b-4885-9d1b-51afea03c53e
05b6cfb0-97eb-47d1-b104-804895f6e334,144,07f5ed21-5669-4cb5-93d8-622557af52ef
05b7d94f-4e8b-48d6-8451-79db998ab5da,birkenstock,7298588f-755b-4951-9ddb-9ef63b924e1f
05bea7ec-cd1c-46ea-9057-283e8a2ba4a7,93,cf5eaa67-9c73-4149-a259-917fd382928e
0603ec52-045f-4aae-8707-59db649e4ad5,20,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
060fdf38-9521-4ed9-8187-26482f443b98,95,b04f2918-d31b-4885-9d1b-51afea03c53e
064b62c5-b27b-47fc-8806-3dabbda5b293,strap,2e2a28f9-566d-419f-9081-cc9061324110
064e5945-259b-41b9-8d45-ac3fad89f5ff,pucker,ba21c1f7-d6a4-4b96-b16d-85cf32bde3da
065ee88a-58f3-4a6f-844c-d495c7c28c14,wave,5645397a-9858-4e4a-9e06-acbadd463738
0663a94d-7fc1-4427-9cdd-86e299c0fe86,rigid,ba21c1f7-d6a4-4b96-b16d-85cf32bde3da
06a01f53-5fd1-4608-b058-c94395a58e8c,270,cf5eaa67-9c73-4149-a259-917fd382928e
06e7c582-a46b-4767-8529-b9978f7feb0d,291,cf5eaa67-9c73-4149-a259-917fd382928e
071a308c-e312-4812-b35f-4fa7c47f5dca,47,cf5eaa67-9c73-4149-a259-917fd382928e
0724a661-6b68-4d56-98f7-e2888a52090f,92,cf5eaa67-9c73-4149-a259-917fd382928e
07597c0c-5681-4d63-a8aa-81674afdd155,fabric,3299a9a7-d387-4ffb-bb7d-fece852611f6
07613004-f596-4351-a1f6-bcbd2913d6ce,total_look,aca97a9c-bf69-4b4d-9ade-f92e82ea953a
07a9c9a9-8381-42fc-863e-7616f7b31304,214,07f5ed21-5669-4cb5-93d8-622557af52ef
07c3d808-6778-4e73-846f-60001c7f76ec,99,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
07ca7e6e-9e19-4657-8a03-f8c68d078a6e,46,26211064-e59c-452e-9518-b6a0f53c2ce5
07d2cea3-1c70-4d86-9643-5811487fb7e7,239,b04f2918-d31b-4885-9d1b-51afea03c53e
07e31a5e-01ca-4986-9f83-67e7a360ca0c,vest,90d5a219-a892-411e-ba25-7244fa1e220c
07ec29ec-9a77-4222-9c98-3a1009a75c12,237,cf5eaa67-9c73-4149-a259-917fd382928e
081dce13-ebde-49f5-95d1-a2de759b8a41,87,26211064-e59c-452e-9518-b6a0f53c2ce5
083d5f07-a01d-4aab-a595-a0961a983bb5,161,b04f2918-d31b-4885-9d1b-51afea03c53e
08655ef3-0195-40ff-96d5-694c74120f38,5,35095baf-b444-43bd-aedf-9360be23ab6d
08665ac4-7c97-4d94-8d80-bb6a00930134,46,a772aec6-6c85-4169-b8ef-4ab0d132453d
08741c4a-11c8-488c-b0fb-fc0cba7529b8,160,cf5eaa67-9c73-4149-a259-917fd382928e
087ac47d-68bf-478e-b129-da5f2f785dd4,49,a772aec6-6c85-4169-b8ef-4ab0d132453d
087e848d-72f9-468c-b653-e55688925ab0,289,cf5eaa67-9c73-4149-a259-917fd382928e
0886a72d-641a-493b-8bf3-73c0a87fdda2,182,cf5eaa67-9c73-4149-a259-917fd382928e
08c03985-ac31-4a85-97e6-bb8e6734fa50,194,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
08d42215-9dde-48ca-b05a-ecbc156d314d,38,cf5eaa67-9c73-4149-a259-917fd382928e
08d5c14d-b7e4-4951-a38e-f94bc63196df,contraste,395d4d49-a7b1-4e8a-8948-bc18beef1e44
08dfcc86-02e8-46a5-b6ac-6f88cc802225,plaited,10e14a5d-39b6-4045-93cc-1574f68606ec
09027afb-0a5f-4606-9ae2-f633386e9246,178,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
0905e5e8-0004-442b-91c0-ca6e1ae41fde,211,b04f2918-d31b-4885-9d1b-51afea03c53e
0923b08d-6598-427d-a880-756fd6596219,night,144d677e-67cc-49b2-9be1-74af3ab02945
0928015c-6f9c-46be-bb4e-51223310e3e8,35,07f5ed21-5669-4cb5-93d8-622557af52ef
09469f3b-ef30-4f6b-9f7a-40f44037e953,51,26211064-e59c-452e-9518-b6a0f53c2ce5
0956065f-f830-46ce-8db3-7c82b0df46c0,72,26211064-e59c-452e-9518-b6a0f53c2ce5
096ed233-3dad-4d6d-a816-bb20f76573ca,fringes,5645397a-9858-4e4a-9e06-acbadd463738
09a7c566-cae0-4a56-bf53-08274d6c3908,33,cf5eaa67-9c73-4149-a259-917fd382928e
09aabcb3-0c2a-4a6a-97ef-35854ac903bb,202,b04f2918-d31b-4885-9d1b-51afea03c53e
09b91033-6d73-480b-8a8a-dfcbea57f96a,10,befe6d1f-f2c3-4ae7-8145-ffef4013324a
09d04600-7e70-4d07-b583-1f31f462735f,73,b04f2918-d31b-4885-9d1b-51afea03c53e
09fe70ef-4b66-4449-9d4c-32dd4a4e4fe5,aged,ba21c1f7-d6a4-4b96-b16d-85cf32bde3da
0a0e7d62-5718-49d2-be92-986595d92118,mules,7298588f-755b-4951-9ddb-9ef63b924e1f
0a2353ed-3482-4163-9ca4-46e6cf6ab717,texturized,ba21c1f7-d6a4-4b96-b16d-85cf32bde3da
0a23f8fa-5f54-4768-8278-3b34af11cd08,233,07f5ed21-5669-4cb5-93d8-622557af52ef
0a35d148-6ef3-48d7-ba26-53e8fb530fde,281,07f5ed21-5669-4cb5-93d8-622557af52ef
0a3733f6-3b5f-429a-b4ed-cf40f9205bca,39,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
0a375cd5-eeb3-4230-9441-d592e7fda6ca,146,cf5eaa67-9c73-4149-a259-917fd382928e
0a63cb1d-7bd6-4a03-bd12-7369f1d90b14,81,51ac9ecd-7b74-4543-ac0c-4fe229da05a8
0a919bfb-4794-434c-98b5-c60039c331c1,ottoman,3299a9a7-d387-4ffb-bb7d-fece852611f6
0aeb167e-6178-47a4-be59-3942d5772108,39,07f5ed21-5669-4cb5-93d8-622557af52ef
0b0641bb-5943-47db-ae87-08b5866f3343,94,07f5ed21-5669-4cb5-93d8-622557af52ef
0b2b4e7b-5c2f-4855-b7ad-e173a9dc1abc,168,07f5ed21-5669-4cb5-93d8-622557af52ef
0b6faec7-1bc4-4ad1-9fd8-e1ebbd76b9ff,192,07f5ed21-5669-4cb5-93d8-622557af52ef
0ba1cb30-fb42-4209-946e-6d82ceecd567,crochet,10e14a5d-39b6-4045-93cc-1574f68606ec
0bdcebc8-9011-4820-ab6b-30acc90b3e1d,36,07f5ed21-5669-4cb5-93d8-622557af52ef
0c038349-30f1-46ac-abb4-f9f3210e6ba9,69,a772aec6-6c85-4169-b8ef-4ab0d132453d
0c17a40b-ac0e-49b3-b260-dbd1b1c17e6e,closed,d6f40fcf-5757-47a8-b7c5-469fba5289e5
0c1cab77-c23e-411d-b7e5-3a63df04ee89,bodoque,c67b06b1-1c40-42a5-b029-e70533146b9f
0c2b2235-e2a6-4ae9-ac72-566234194362,plaston_pocket,5645397a-9858-4e4a-9e06-acbadd463738
