color1,color2,score
000000,000081,0.4
000000,00008B,0.4
000000,0000FF,0.4
000000,0053A5,0.4
000000,008000,0.6
000000,153668,0.4
000000,164A0A,0.6
000000,3B6968,1.0
000000,40E0D0,0.6
000000,462C0E,0.6
000000,5C2F83,0.4
000000,5F5E5E,0.6
000000,614051,0.6
000000,640B22,0.6
000000,666633,0.8
000000,768597,0.6
000000,800000,0.6
000000,808080,0.6
000000,86BE2D,0.2
000000,87CEFA,0.6
000000,8E1D03,0.6
000000,9A8176,0.6
000000,A57E62,0.6
000000,B11730,0.4
000000,B3832E,0.6
000000,B5A45F,0.8
000000,B94600,0.4
000000,BBA9E4,0.6
000000,BBE2AD,0.6
000000,BCD2E7,0.6
000000,C19A6B,0.8
000000,C4DDCE,0.8
000000,C7A2A2,0.6
000000,C9C9C9,0.6
000000,D0455F,0.6
000000,D3D3D3,0.6
000000,D84936,0.6
000000,DEB24C,0.6
000000,DFC8B2,0.8
000000,E65A5B,0.6
000000,EBD6A7,0.6
000000,ECE9D6,0.8
000000,F29985,0.6
000000,FAAA6E,0.6
000000,FAC4DB,0.6
000000,FDF7B2,0.6
000000,FF00A8,0.4
000000,FFA500,0.6
000000,FFC0CB,0.6
000000,FFD200,0.6
000000,FFFF00,0.6
000000,FFFFFF,0.6
000081,00008B,0.6
000081,0000FF,0.2
000081,0053A5,0.4
000081,008000,0.4
000081,153668,0.4
000081,164A0A,0.4
000081,3B6968,0.6
000081,40E0D0,0.6
000081,462C0E,0.6
000081,5C2F83,0.4
000081,5F5E5E,0.6
000081,614051,0.6
000081,640B22,0.4
000081,666633,0.6
000081,768597,0.4
000081,800000,0.4
000081,808080,0.6
000081,86BE2D,0.6
000081,87CEFA,1.0
000081,8E1D03,0.6
000081,9A8176,0.6
000081,A57E62,0.6
000081,B11730,0.4
000081,B3832E,0.6
000081,B5A45F,0.8
000081,B94600,0.6
000081,BBA9E4,0.4
000081,BBE2AD,0.6
000081,BCD2E7,0.6
000081,C19A6B,0.8
000081,C4DDCE,0.8
000081,C7A2A2,0.8
000081,C9C9C9,0.8
000081,D0455F,0.4
000081,D3D3D3,0.8
000081,D84936,0.4
000081,DEB24C,0.6
000081,DFC8B2,0.8
000081,E65A5B,0.4
000081,EBD6A7,0.8
000081,ECE9D6,0.8
000081,F29985,0.6
000081,FAAA6E,0.6
000081,FAC4DB,0.8
000081,FDF7B2,0.6
000081,FF00A8,0.4
000081,FFA500,0.6
000081,FFC0CB,0.8
000081,FFD200,0.6
000081,FFFF00,0.6
000081,FFFFFF,0.8
00008B,0000FF,0.2
00008B,0053A5,0.4
00008B,008000,0.4
00008B,153668,0.6
00008B,164A0A,0.4
00008B,3B6968,0.4
00008B,40E0D0,0.6
00008B,462C0E,0.6
00008B,5C2F83,0.4
00008B,5F5E5E,0.6
00008B,614051,0.4
00008B,640B22,0.4
00008B,666633,0.6
00008B,768597,0.4
00008B,800000,0.4
00008B,808080,0.6
00008B,86BE2D,0.6
00008B,87CEFA,0.6
00008B,8E1D03,0.6
00008B,9A8176,0.6
00008B,A57E62,0.6
00008B,B11730,0.4
00008B,B3832E,0.6
00008B,B5A45F,0.8
00008B,B94600,0.4
00008B,BBA9E4,0.4
00008B,BBE2AD,0.6
00008B,BCD2E7,0.6
00008B,C19A6B,1.0
00008B,C4DDCE,0.8
00008B,C7A2A2,0.8
00008B,C9C9C9,0.8
00008B,D0455F,0.4
00008B,D3D3D3,0.8
00008B,D84936,0.4
00008B,DEB24C,0.6
00008B,DFC8B2,0.8
00008B,E65A5B,0.4
00008B,EBD6A7,0.8
00008B,ECE9D6,0.8
00008B,F29985,0.6
00008B,FAAA6E,0.6
00008B,FAC4DB,0.8
00008B,FDF7B2,0.6
00008B,FF00A8,0.4
00008B,FFA500,0.6
00008B,FFC0CB,0.8
00008B,FFD200,0.6
00008B,FFFF00,0.6
00008B,FFFFFF,0.8
0000FF,0053A5,0.2
0000FF,008000,0.2
0000FF,153668,0.2
0000FF,164A0A,0.2
0000FF,3B6968,0.2
0000FF,40E0D0,0.4
0000FF,462C0E,0.4
0000FF,5C2F83,0.2
0000FF,5F5E5E,0.4
0000FF,614051,0.4
0000FF,640B22,0.2
0000FF,666633,0.4
0000FF,768597,0.2
0000FF,800000,0.4
0000FF,808080,0.4
0000FF,86BE2D,0.4
0000FF,87CEFA,0.8
0000FF,8E1D03,0.4
0000FF,9A8176,0.4
0000FF,A57E62,0.2
0000FF,B11730,0.2
0000FF,B3832E,0.6
0000FF,B5A45F,0.4
0000FF,B94600,0.4
0000FF,BBA9E4,0.2
0000FF,BBE2AD,0.4
0000FF,BCD2E7,0.2
0000FF,C19A6B,0.4
0000FF,C4DDCE,0.4
0000FF,C7A2A2,0.4
0000FF,C9C9C9,0.6
0000FF,D0455F,0.2
0000FF,D3D3D3,0.6
0000FF,D84936,0.4
0000FF,DEB24C,0.4
0000FF,DFC8B2,0.4
0000FF,E65A5B,0.2
0000FF,EBD6A7,0.4
0000FF,ECE9D6,0.4
0000FF,F29985,0.4
0000FF,FAAA6E,0.4
0000FF,FAC4DB,0.4
0000FF,FDF7B2,0.2
0000FF,FF00A8,0.2
0000FF,FFA500,0.4
0000FF,FFC0CB,0.4
0000FF,FFD200,0.4
0000FF,FFFF00,0.4
0000FF,FFFFFF,0.6
0053A5,008000,0.4
0053A5,153668,0.2
0053A5,164A0A,0.2
0053A5,3B6968,0.4
0053A5,40E0D0,0.4
0053A5,462C0E,0.4
0053A5,5C2F83,0.2
0053A5,5F5E5E,0.4
0053A5,614051,0.4
0053A5,640B22,0.4
0053A5,666633,0.4
0053A5,768597,0.2
0053A5,800000,0.4
0053A5,808080,0.6
0053A5,86BE2D,0.4
0053A5,87CEFA,0.2
0053A5,8E1D03,0.4
0053A5,9A8176,0.6
0053A5,A57E62,0.6
0053A5,B11730,0.2
0053A5,B3832E,0.4
0053A5,B5A45F,0.6
0053A5,B94600,0.4
0053A5,BBA9E4,0.2
0053A5,BBE2AD,0.4
0053A5,BCD2E7,0.2
0053A5,C19A6B,0.6
0053A5,C4DDCE,0.6
0053A5,C7A2A2,0.6
0053A5,C9C9C9,0.8
0053A5,D0455F,0.4
0053A5,D3D3D3,0.8
0053A5,D84936,0.4
0053A5,DEB24C,0.4
0053A5,DFC8B2,0.6
0053A5,E65A5B,0.4
0053A5,EBD6A7,0.6
0053A5,ECE9D6,0.8
0053A5,F29985,0.4
0053A5,FAAA6E,0.6
0053A5,FAC4DB,0.6
0053A5,FDF7B2,0.6
0053A5,FF00A8,0.2
0053A5,FFA500,0.4
0053A5,FFC0CB,0.6
0053A5,FFD200,0.4
0053A5,FFFF00,0.4
0053A5,FFFFFF,1.0
008000,153668,0.4
008000,164A0A,0.4
008000,3B6968,0.4
008000,40E0D0,0.4
008000,462C0E,0.4
008000,5C2F83,0.4
008000,5F5E5E,0.6
008000,614051,0.6
008000,640B22,0.4
008000,666633,0.6
008000,768597,0.4
008000,800000,0.6
008000,808080,0.6
008000,86BE2D,0.4
008000,87CEFA,0.4
008000,8E1D03,0.4
008000,9A8176,0.6
008000,A57E62,0.6
008000,B11730,0.4
008000,B3832E,0.4
008000,B5A45F,0.6
008000,B94600,0.4
008000,BBA9E4,0.4
008000,BBE2AD,0.4
