indice,id_producto,nombre_producto,hexadecimal,categoria_prenda,subcategoria_prenda,adventurous,weather,style,application,print,basic,nivel,subnivel
3,6e6b4255-006a-4d13-b312-3b1426290d8e,Poly Pant deeluxe,B11730,bottoms,cigarette,3,warm_season,casual,freetime,smooth,False,2,2.2
21,2ccf1dc1-0e59-4cc7-8c5f-ee7a7d59a750,Long Tshirt stripe,ECE9D6,top,hoodies,2,warm_season,boho,freetime,horizontal_stripes,False,3,3.1
22,ce077e88-0e94-46c9-b838-cd4ad6b9c9c2,Turna Top flounce ,5F5E5E,top,tops,3,warm_season,boho,work,smooth,False,3,3.1
23,4c05f17f-d370-4f39-8e6c-4cb3053133d8,Raye Tshirt peak ,00008b,top,t-shirts,3,warm_season,boho,freetime,horizontal_stripes,False,3,3.1
24,04a76335-e215-4c32-bf11-40cf9dc95284,Burle Jacket bomb,000000,outerwear,bomber,4,warm_season,boho,freetime,sheets,False,4,4.1
25,68052b19-9f70-4bf5-a9d4-9be52d2c0e2d,Denim Jacket sew ,00008b,outerwear,biker,2,warm_season,street,freetime,smooth,False,4,4.1
27,e9915d28-1516-4fac-96e9-51f65a8ecee5,Onlblush Jeans noos,FFFFFF,bottoms,cigarette,3,warm_season,street,freetime,smooth,False,2,2.2
45,1657c9fa-aedf-487d-8578-0c703190d283,Ball Jacket bomber ,666633,outerwear,bomber,3,cold_season,street,freetime,smooth,False,4,4.1
46,1657c9fa-aedf-487d-8578-0c703190d283,Ball Jacket bomber ,00008b,outerwear,bomber,3,cold_season,street,freetime,smooth,False,4,4.1
47,466c3a14-4f23-4c66-a25e-dd7265d364c8,Wall Shirt kilky ,008000,top,shirt,2,warm_season,casual,work,vertical_stripes,False,3,3.1
48,466c3a14-4f23-4c66-a25e-dd7265d364c8,Wall Shirt kilky ,87CEFA,top,shirt,2,warm_season,casual,work,vertical_stripes,False,3,3.1
49,cfd5b0c1-044a-411f-93a4-032b02fa0560,Lua Cardigan colors ,D3D3D3,top,cardigan,3,cold_season,street,freetime,horizontal_stripes,False,3,3.1
50,cfd5b0c1-044a-411f-93a4-032b02fa0560,Lua Cardigan colors ,000081,top,cardigan,3,cold_season,street,freetime,horizontal_stripes,False,3,3.1
51,86ac8e1c-3288-4872-9e38-5257041a1d7f,Lunce Top colors ,FFFFFF,top,tops,3,warm_season,classic,night,smooth,False,3,3.1
52,86ac8e1c-3288-4872-9e38-5257041a1d7f,Lunce Top colors ,008000,top,tops,3,warm_season,classic,night,smooth,False,3,3.1
53,86ac8e1c-3288-4872-9e38-5257041a1d7f,Lunce Top colors ,DEB24C,top,tops,3,warm_season,classic,night,smooth,False,3,3.1
54,86ac8e1c-3288-4872-9e38-5257041a1d7f,Lunce Top colors ,000000,top,tops,3,warm_season,classic,night,smooth,False,3,3.1
55,86ac8e1c-3288-4872-9e38-5257041a1d7f,Lunce Top colors ,FFA500,top,tops,3,warm_season,classic,night,smooth,False,3,3.1
