1. Frecuencia de feedback (1-5),2. Equilibrio vida laboral/personal (1-5),3. Oportunidades profesionales (1-5),4. Alineación con valores empresa (1-5),5. Cultura laboral positiva (1-5),6. Entendimiento de tareas (1-5),7. Consideración de sugerencias (1-5),8. Disponibilidad de equipo necesario (1-5),9. Lo mejor de la experiencia (palabra),10. Cambio operativo/gestión (respuesta libre)
1,2,2,5,5,1,2,1,Aprendizaje,Delegar tareas
1,5,1,5,2,2,3,3,Innovador,Mejorar comunicación interna
2,3,4,5,4,3,5,5,Amigable,Más formación
4,3,2,2,4,3,3,1,Innovador,Optimizar procesos
2,3,1,5,4,3,5,1,Inspirador,Mayor reconocimiento
4,4,4,1,4,1,4,4,Eficiente,Mejorar gestión de proyectos
5,1,2,3,4,5,5,5,Colaborativo,Actualizar herramientas
2,4,4,1,1,1,1,4,Aprendizaje,Actualizar herramientas
3,2,5,2,4,1,4,4,Eficiente,Optimizar procesos
4,2,5,1,2,5,5,3,Innovador,Mejorar comunicación interna
3,3,1,5,2,5,3,5,Amigable,Mejorar comunicación interna
1,4,2,2,5,3,2,1,Colaborativo,Flexibilidad horaria
5,1,1,5,4,5,5,4,Reto,Optimizar procesos
2,3,2,1,1,3,2,1,Flexible,Flexibilidad horaria
3,2,1,1,5,5,2,5,Eficiente,Delegar tareas
2,3,3,4,3,4,5,1,Motivador,Mejorar comunicación interna
5,5,1,5,3,5,5,3,Eficiente,Más recursos
1,3,4,2,3,1,5,3,Inspirador,Mejorar gestión de proyectos
2,4,3,1,3,3,3,4,Flexible,Optimizar procesos
3,5,3,1,4,5,4,2,Amigable,Mayor reconocimiento
3,4,1,2,2,3,3,1,Flexible,Mejorar gestión de proyectos
1,1,1,1,2,3,3,5,Motivador,Más recursos
2,2,5,2,2,5,2,1,Dinámico,Mayor reconocimiento
4,1,2,4,1,2,2,1,Colaborativo,Optimizar procesos
5,3,3,5,5,5,1,1,Eficiente,Mejorar comunicación interna
2,4,4,2,5,5,2,1,Dinámico,Optimizar procesos
4,3,1,3,2,2,4,1,Innovador,Actualizar herramientas
3,1,4,1,4,2,4,5,Eficiente,Optimizar procesos
4,3,4,3,1,4,4,5,Colaborativo,Mejorar gestión de proyectos
5,4,1,1,1,2,2,3,Motivador,Flexibilidad horaria
2,4,3,4,2,2,4,2,Amigable,Mayor reconocimiento
5,2,3,3,2,3,2,1,Motivador,Reducir burocracia
4,1,3,2,5,4,1,4,Flexible,Más recursos
3,4,2,4,3,2,3,4,Amigable,Más recursos
3,2,5,3,5,5,5,2,Aprendizaje,Más recursos
4,3,2,5,2,2,2,3,Motivador,Más formación
3,4,5,2,2,4,4,1,Colaborativo,Mejorar comunicación interna
5,4,1,5,5,1,1,4,Inspirador,Actualizar herramientas
4,1,5,5,2,4,4,2,Aprendizaje,Actualizar herramientas
5,5,1,3,4,4,4,4,Reto,Más recursos
3,4,4,1,1,1,5,1,Innovador,Reducir burocracia
1,5,2,3,1,2,4,2,Motivador,Reducir burocracia
2,3,2,1,4,5,2,4,Dinámico,Mejorar gestión de proyectos
3,3,4,5,1,4,2,1,Amigable,Mayor reconocimiento
1,4,2,3,2,2,1,5,Amigable,Reducir burocracia
5,1,2,3,3,2,3,5,Aprendizaje,Mejorar gestión de proyectos
4,5,1,2,5,5,5,1,Dinámico,Reducir burocracia
4,1,4,3,4,1,5,5,Dinámico,Reducir burocracia
2,2,1,2,2,5,1,2,Dinámico,Reducir burocracia
2,1,2,3,1,2,5,4,Dinámico,Delegar tareas
2,3,5,4,3,2,1,5,Eficiente,Flexibilidad horaria
